MOTOROLA,,,SAMSUNG,,,XIAOMI,,,IPHONE,,,,,,,,,,
G75, $220.00 ,,A06 com aro (premium), $170.00 ,,Redmi Note 10 pro / 10 pro max/ Note 11 pro / Poco x4 pro oled, $300.00 ,,,,,,,,,,,,
G82 oled com aro (Premium), $335.00 ,,A10/M10, $60.00 ,,Redmi note 10 pro / 10 pro max oled com aro (Premium), $330.00 ,,,,,,,,,,,,
G84 incell, $130.00 ,,A10/M10 com aro, $70.00 ,,Redmi note 11 4g / note 11s / note 12s /poco m4 pro 4g incell, $75.00 ,,,,,,,,,,,,
G84 incell com aro , $160.00 ,,A10s , $65.00 ,,Redmi note 11 4g incell com aro, $100.00 ,,,,,,,,,,,,
G84 oled com aro, $310.00 ,,A10s com aro , $75.00 ,,Redmi note 11 4g incell com aro  (Premium), $130.00 ,,,,,,,,,,,,
G84 oled com aro  (Linha premium), $330.00 ,,A11, $60.00 ,,Redmi Note 11 4g oled com aro, $225.00 ,,,,,,,,,,,,
G84 incell, $115.00 ,,A11 com aro , $75.00 ,,Redmi note 11 4g oled com aro (Premium), $240.00 ,,,,,,,,,,,,
G84 incell com aro , $150.00 ,,A11 com aro  (Premium), $110.00 ,,Redmi note 11s/note 12s/poco m4 pro 4g Incell com aro, $100.00 ,,,,,,,,,,,,
G85 5g incell, $225.00 ,,A12/ M12 com aro , $75.00 ,,Redmi note 11s/note 12s/ poco m4 pro 4g incell com aro (Premium), $125.00 ,,,,,,,,,,,,
G100 com aro, $230.00 ,,A12/ M12 com aro (Premium), $105.00 ,,Redmi note 11s / note 12s / poco m4 pro 4g oled com aro, $230.00 ,,,,,,,,,,,,
G200, $130.00 ,,A13 4g/A23 4g/M13 4g/ m23 4g/ m33 4g, $75.00 ,,Redmi note 11s/note 12s/poco m4 pro 4g oled com aro (premium), $225.00 ,,,,,,,,,,,,
G04 / G04s com aro, $105.00 ,,A13 4g com aro , $80.00 ,,Redmi note 11 5g, $90.00 ,,,,,,,,,,,,
G04 / G04s com aro (Premium), $130.00 ,,A13 5g com aro, $115.00 ,,Redmi note 11 5g com aro (Premium), $145.00 ,,,,,,,,,,,,
G05 com aro, $150.00 ,,A13 5g com aro (Premium), $125.00 ,,Redmi Note 11 pro/ Poco x4 pro incell com aro , $105.00 ,,,,,,,,,,,,
G Play 2021, $170.00 ,,A14 4g, $75.00 ,,Redmi note 11 pro incell / poco x4 pro incell com aro (Premium), $110.00 ,,,,,,,,,,,,
